country,totalSmokingRate,maleSmokingRate,femaleSmokingRate
Kiribati,52.4,63.9,40.9
Nauru,47.5,43,52
Greece,42.65,52.6,32.7
Serbia,41.65,43.6,39.7
Russia,40.9,59,22.8
Jordan,40.45,70.2,10.7
Indonesia,39.9,76.2,3.6
Bosnia and Herzegovina,38.6,47.2,30
Lebanon,38.2,45.4,31
Chile,38,40,36
Latvia,36.6,48.9,24.3
Croatia,36.45,39.4,33.5
Sierra Leone,36,60,12
Bulgaria,35.3,42.4,28.2
Cuba,35.25,52.7,17.8
Austria,35.15,35.5,34.8
Czech Republic,33.2,37.4,29
Estonia,33.05,41.2,24.9
Laos,32.85,56.6,9.1
Andorra,32.5,37.2,27.8
Georgia,31.7,57.7,5.7
Ukraine,31.7,49.4,14
Germany,30.35,32.4,28.3
Israel,30.25,41.2,19.3
Lithuania,30.15,38.1,22.2
Tonga,30.15,47.3,13
Samoa,29.95,41,18.9
Romania,29.8,36.9,22.7
Albania,29.4,51.2,7.6
Spain,29.2,31.3,27.1
Slovakia,28.65,39.7,17.6
Belarus,28.4,46.2,10.6
Hungary,28.4,32,24.8
Bahrain,28.2,48.8,7.6
Poland,28.05,32.4,23.7
Lesotho,27.75,55.1,0.4
France,27.7,29.8,25.6
South Korea,27,49.8,4.2
Kyrgyzstan,27,50.4,3.6
Armenia,26.9,52.3,1.5
Kazakhstan,26.6,43.9,9.3
Mongolia,26.5,47.7,5.3
Turkey,25.95,39.5,12.4
Seychelles,25.9,43,8.8
Philippines,25.75,43,8.5
Moldova,25.55,45.7,5.4
Fiji,25.55,38.7,12.4
Namibia,25.15,38.9,11.4
Egypt,25.1,49.9,0.3
Netherlands,25.05,26.2,23.9
Malta,24.95,29.7,20.2
China,24.7,47.6,1.8
Vietnam,24.2,47.1,1.3
Nepal,24.1,37.1,11.1
Italy,24,28.3,19.7
Argentina,23.95,29.5,18.4
Mauritania,23.85,44,3.7
Bolivia,23.8,30.5,17.1
Luxembourg,23.6,25.8,21.4
Cambodia,23.45,44.1,2.8
Azerbaijan,23.45,46.5,0.4
Morocco,23.4,45.4,1.4
Switzerland,23.3,26.9,19.7
Belgium,23.25,26.5,20
Uruguay,23.05,26.7,19.4
Portugal,22.6,31.5,13.7
Republic of the Congo,22.45,43.2,1.7
Pakistan,22.45,41.9,3
Cameroon,22.35,43.8,0.9
Norway,22.25,22.4,22.1
Malaysia,22.2,43,1.4
Japan,22.15,33.7,10.6
Ireland,22.15,22.4,21.9
Thailand,21.85,41.4,2.3
Mauritius,21.7,40.1,3.3
Finland,20.85,23.2,18.5
Sweden,20.6,20.4,20.8
Bangladesh,20.25,39.8,0.7
Burkina Faso,20.25,36,4.5
Slovenia,20.2,22.3,18.1
Mali,20,36.8,3.2
United Kingdom,19.15,19.9,18.4
Myanmar,19,31.6,6.4
South Africa,18.95,31.4,6.5
Mozambique,18.65,31.4,5.9
Paraguay,18.1,28.3,7.9
Jamaica,17.9,29.9,5.9
Honduras,17.7,33.3,2.1
United States,17.25,19.5,15
Denmark,17,17.6,16.4
Zimbabwe,16.65,31.2,2.1
Singapore,16.5,28,5
Brunei,16.2,29.3,3.1
Iceland,16.05,17,15.1
Niue,15.85,20.3,11.4
Malawi,15.7,25.4,6
Tanzania,15.65,27.5,3.8
Zambia,15.55,26.5,4.6
Saudi Arabia,15.4,27.9,2.9
Brazil,15.3,19.3,11.3
Liberia,15,27.6,2.4
Canada,14.95,17.7,12.2
Australia,14.9,16.7,13.1
Comoros,14.55,23.1,6
Sri Lanka,14.4,28.4,0.4
Dominican Republic,14.1,18.8,9.4
Mexico,13.7,20.8,6.6
Costa Rica,13.4,18.5,8.3
Kenya,13.35,24.6,2.1
Uzbekistan,13.1,24.9,1.3
Cape Verde,12.85,22.2,3.5
Haiti,12.3,22.1,2.5
Senegal,12.05,23.4,0.7
India,11.15,20.4,1.9
Iran,11.1,21.5,0.7
Colombia,11.1,16,6.2
Oman,11,21,1
Eswatini,10.6,19,2.2
Uganda,9.65,16.4,2.9
Niger,9.4,18.6,0.2
Benin,9.35,17.7,1
Nigeria,9.25,17.4,1.1
Ecuador,8.65,14,3.3
Barbados,7,13.1,0.9
Ghana,6.75,13.1,0.4
Panama,6.6,10.6,2.6
Ethiopia,4.7,8.9,0.5
